"id","Uid","Did","Key","Time","UpdateTime","avg_height","avg_hrm","calories","distance","duration","end_time","entityEndTime","entityOffsetTime","entityStartTime","hrm_aerobic_duration","hrm_anaerobic_duration","hrm_extreme_duration","hrm_fat_burning_duration","hrm_warm_up_duration","max_cadence","max_height","max_hrm","max_pace","max_speed","min_height","min_hrm","min_pace","proto_type","sport_type","start_time","steps","time","training_experience","timezone","version","total_cal","forefoot_landing_duration","golpe_landing_duration","heel_landing_duration","requestDivingId","corrected_distance","anaerobic_train_effect","anaerobic_train_effect_level","avg_cadence","avg_pace","avg_stride","energy_consume","recover_time","reserve_hr_zone","running_ability_index","running_ability_level","train_effect","aerobic_train_effect_level","train_load","train_load_level","valid_duration","vo2_max","vo2_max_level","avg_speed","fall_height","rise_height"
"6218970817_777365055_1741563229",6218970817,"777365055","outdoor_run_class",1741563229,1741567385,NA,169,483,10013,3825,1741567052,NA,NA,NA,277,2226,980,226,98,184,NA,188,250,13.86,NA,92,2200,22,1,1741563229,10360,1741563229,NA,-24,1,567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_777365055_1741359994",6218970817,"777365055","outdoor_run_class",1741359994,1741384844,NA,152,439,9256,4231,1741364222,NA,NA,NA,867,2139,24,714,473,188,NA,182,252,12.97,NA,76,2727,22,1,1741359994,10703,1741359994,NA,-24,1,533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_xiaomiwear_app_1740957529",6218970817,"xiaomiwear_app","outdoor_run_class",1740957529,1741271523,0,170,393,7963,3095,1740960624,NA,NA,NA,539,1751,687,31,12,186,0,190,220,16.363636,0,65,2089,22,1,1740957529,8549,1740957529,NA,-24,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_777365055_1738452592",6218970817,"777365055","outdoor_run_class",1738452592,1738455565,NA,152,225,5223,2149,1738454739,NA,NA,NA,1129,642,27,204,136,190,NA,186,258,13.3,NA,83,1600,22,1,1738452592,5799,1738452592,NA,-24,1,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_777365055_1737587972",6218970817,"777365055","outdoor_run_class",1737587972,1737695607,NA,159,426,9260,3718,1737591688,NA,NA,NA,656,2195,98,622,123,182,NA,183,275,12.43,NA,76,1400,22,1,1737587972,10009,1737587972,NA,-24,1,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_xiaomiwear_app_1737331742",6218970817,"xiaomiwear_app","outdoor_run_class",1737331742,1737333869,0,92,24,208,1040,1737332784,NA,NA,NA,0,0,0,0,140,192,0,114,0,2,0,80,2330,22,1,1737331742,9,1737331742,NA,-24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_xiaomiwear_app_1737328043",6218970817,"xiaomiwear_app","outdoor_run_class",1737328043,1737333866,0,160,417,9227,3650,1737331694,NA,NA,NA,837,2262,11,485,28,192,0,180,279,12,0,76,1568,22,1,1737328043,10247,1737328043,NA,-24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_777365055_1733873023",6218970817,"777365055","outdoor_run_class",1733873023,1733947634,NA,165,411,9165,3393,1733876414,NA,NA,NA,415,2799,127,16,18,182,NA,182,291,11.26,NA,78,603,22,1,1733873023,9831,1733873023,NA,-24,1,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_777365055_1733095302",6218970817,"777365055","outdoor_run_class",1733095302,1733159846,NA,161,356,7928,3061,1733098360,NA,NA,NA,793,1792,149,265,41,184,NA,184,267,12.89,NA,83,1500,22,1,1733095302,8394,1733095302,NA,-24,1,424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6218970817_777365055_1732486433",6218970817,"777365055","outdoor_run_class",1732486433,1732572244,NA,147,170,4858,1746,1732488177,NA,NA,NA,625,458,0,617,38,180,NA,179,333,10.34,NA,102,1000,22,1,1732486433,5037,1732486433,NA,-24,1,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
